Data da Venda,Código Produto,Nome Produto,Garantia Extendida,Categoria do Produto,Quantidade Vendido,Valor Unitário,Valor Total da Venda,Cidade da Loja,País da Loja,Vendedor
2023-09-13,10,Mouse,Sim,Periféricos,3,116.0,348.0,New York,Estados Unidos,Alice
2023-12-13,11,Teclado,Sim,Periféricos,10,183.0,1830.0,New York,Estados Unidos,John
2023-10-18,23,Cabo HDMI,Sim,Periféricos,2,47.2,94.4,Los Angeles,Estados Unidos,Bob
2024-01-12,60,Cadeira,Não,Móveis,7,300.0,2100.0,Madrid,Espanha,Carlos
2024-01-12,11,Teclado,Sim,Periféricos,8,150.0,1200.0,São Paulo,Brasil,Ana
2023-07-16,11,Teclado,Não,Periféricos,7,168.0,1176.0,Porto,Portugal,André
2023-03-24,95,Memória,Não,Armazenamento,7,332.8,2329.6,Coimbra,Portugal,Sofia
2023-06-05,95,Memória,Não,Armazenamento,3,352.0,1056.0,Coimbra,Portugal,Sofia
2023-06-14,35,Computador,Sim,Computadores,4,2530.0,10120.0,Coimbra,Portugal,Miguel
2023-12-16,20,Monitor,Não,Monitores,6,976.0,5856.0,Barcelona,Espanha,María
2024-02-01,96,Placa de Vídeo,Sim,Periféricos,9,2244.0,20196.0,Valencia,Espanha,David
2023-05-21,96,Placa de Vídeo,Não,Periféricos,7,2376.0,16632.0,Madrid,Espanha,David
2023-10-28,70,Licença Windows,Não,Software,5,1062.0,5310.0,Barcelona,Espanha,David
2023-10-21,60,Cadeira,Sim,Móveis,4,354.0,1416.0,Chicago,Estados Unidos,John
2023-08-15,70,Licença Windows,Não,Software,6,1026.0,6156.0,Barcelona,Espanha,David
2023-10-20,10,Mouse,Não,Periféricos,8,118.0,944.0,Chicago,Estados Unidos,Bob
2023-10-16,60,Cadeira,Sim,Móveis,5,354.0,1770.0,Valencia,Espanha,Carlos
2023-06-15,11,Teclado,Sim,Periféricos,1,165.0,165.0,Lisboa,Portugal,Sofia
2024-02-27,20,Monitor,Sim,Monitores,8,816.0,6528.0,Belo Horizonte,Brasil,Carlos
2023-10-25,80,Licença Office 365,Sim,Software,3,413.0,1239.0,Los Angeles,Estados Unidos,John
2024-01-08,70,Licença Windows,Não,Software,5,900.0,4500.0,Chicago,Estados Unidos,Alice
2023-10-22,10,Mouse,Sim,Periféricos,6,118.0,708.0,Los Angeles,Estados Unidos,John
2024-02-29,90,HD SSD,Não,Armazenamento,3,612.0,1836.0,Valencia,Espanha,David
2023-11-16,11,Teclado,Sim,Periféricos,8,180.0,1440.0,Chicago,Estados Unidos,Bob
2023-08-06,20,Monitor,Sim,Monitores,4,912.0,3648.0,Valencia,Espanha,Carlos
2024-03-13,11,Teclado,Sim,Periféricos,1,156.0,156.0,São Paulo,Brasil,Ana
2023-03-31,30,Notebook,Não,Computadores,4,3640.0,14560.0,Belo Horizonte,Brasil,João
2023-03-22,96,Placa de Vídeo,Não,Periféricos,6,2288.0,13728.0,Coimbra,Portugal,Miguel
2023-05-17,95,Memória,Sim,Armazenamento,7,345.6,2419.2,Lisboa,Portugal,Miguel
2023-06-28,23,Cabo HDMI,Não,Periféricos,9,44.0,396.0,Barcelona,Espanha,Carlos
2023-12-25,96,Placa de Vídeo,Sim,Periféricos,7,2684.0,18788.0,São Paulo,Brasil,Ana
2023-07-05,50,Mesa,Não,Móveis,2,504.0,1008.0,Belo Horizonte,Brasil,Ana
2024-01-20,11,Teclado,Não,Periféricos,10,150.0,1500.0,Belo Horizonte,Brasil,Ana
2023-08-18,70,Licença Windows,Sim,Software,5,1026.0,5130.0,New York,Estados Unidos,John
2023-11-12,50,Mesa,Não,Móveis,1,540.0,540.0,Chicago,Estados Unidos,Alice
2023-05-17,50,Mesa,Sim,Móveis,10,486.0,4860.0,Coimbra,Portugal,Sofia
2023-07-13,50,Mesa,Não,Móveis,9,504.0,4536.0,Lisboa,Portugal,André
2024-03-07,11,Teclado,Não,Periféricos,10,156.0,1560.0,Valencia,Espanha,María
2023-06-24,96,Placa de Vídeo,Não,Periféricos,4,2420.0,9680.0,Coimbra,Portugal,André
2023-08-22,11,Teclado,Sim,Periféricos,1,171.0,171.0,Valencia,Espanha,David
2023-11-22,90,HD SSD,Não,Armazenamento,5,720.0,3600.0,Belo Horizonte,Brasil,Ana
2023-08-08,95,Memória,Sim,Armazenamento,1,364.8,364.8,Belo Horizonte,Brasil,João
2024-03-02,10,Mouse,Não,Periféricos,4,104.0,416.0,Lisboa,Portugal,Miguel
2023-12-15,50,Mesa,Não,Móveis,7,549.0,3843.0,Los Angeles,Estados Unidos,John
2023-03-25,20,Monitor,Sim,Monitores,3,832.0,2496.0,Madrid,Espanha,Carlos
2023-03-20,10,Mouse,Sim,Periféricos,4,104.0,416.0,Coimbra,Portugal,Sofia
2024-01-27,11,Teclado,Sim,Periféricos,4,150.0,600.0,Belo Horizonte,Brasil,João
2023-04-04,96,Placa de Vídeo,Sim,Periféricos,9,2332.0,20988.0,New York,Estados Unidos,Bob
2024-01-06,35,Computador,Não,Computadores,4,2300.0,9200.0,Valencia,Espanha,María
2023-11-24,11,Teclado,Não,Periféricos,9,180.0,1620.0,Valencia,Espanha,David
2023-12-11,96,Placa de Vídeo,Não,Periféricos,9,2684.0,24156.0,Porto,Portugal,André
2023-11-02,20,Monitor,Sim,Monitores,10,960.0,9600.0,New York,Estados Unidos,Alice
2023-10-27,30,Notebook,Sim,Computadores,6,4130.0,24780.0,Chicago,Estados Unidos,Alice
2023-03-24,90,HD SSD,Sim,Armazenamento,8,624.0,4992.0,Lisboa,Portugal,Miguel
2024-02-27,95,Memória,Sim,Armazenamento,8,326.4,2611.2,Los Angeles,Estados Unidos,John
2023-05-11,23,Cabo HDMI,Não,Periféricos,7,43.2,302.4,Chicago,Estados Unidos,Alice
2023-03-26,96,Placa de Vídeo,Sim,Periféricos,6,2288.0,13728.0,Valencia,Espanha,María
2023-06-03,23,Cabo HDMI,Não,Periféricos,5,44.0,220.0,Coimbra,Portugal,Miguel
2024-03-10,90,HD SSD,Sim,Armazenamento,1,624.0,624.0,Valencia,Espanha,María
2023-06-04,30,Notebook,Sim,Computadores,9,3850.0,34650.0,Chicago,Estados Unidos,John
2023-04-24,30,Notebook,Não,Computadores,1,3710.0,3710.0,Belo Horizonte,Brasil,Ana
2023-07-06,30,Notebook,Não,Computadores,5,3920.0,19600.0,Chicago,Estados Unidos,Alice
2023-09-18,70,Licença Windows,Sim,Software,6,1044.0,6264.0,Chicago,Estados Unidos,Alice
2023-10-11,20,Monitor,Sim,Monitores,4,944.0,3776.0,Madrid,Espanha,María
2023-08-19,96,Placa de Vídeo,Não,Periféricos,5,2508.0,12540.0,Barcelona,Espanha,Carlos
2023-08-28,60,Cadeira,Não,Móveis,4,342.0,1368.0,Lisboa,Portugal,Sofia
2023-04-06,30,Notebook,Não,Computadores,1,3710.0,3710.0,New York,Estados Unidos,Alice
2023-05-15,50,Mesa,Não,Móveis,6,486.0,2916.0,Porto,Portugal,Sofia
2023-09-05,60,Cadeira,Não,Móveis,6,348.0,2088.0,Belo Horizonte,Brasil,João
2023-12-03,20,Monitor,Não,Monitores,3,976.0,2928.0,Porto,Portugal,André
2023-11-09,95,Memória,Sim,Armazenamento,9,384.0,3456.0,Coimbra,Portugal,Miguel
2023-09-30,20,Monitor,Sim,Monitores,8,928.0,7424.0,Chicago,Estados Unidos,John
2024-01-06,23,Cabo HDMI,Sim,Periféricos,7,40.0,280.0,Rio de Janeiro,Brasil,João
2023-05-13,90,HD SSD,Não,Armazenamento,4,648.0,2592.0,Coimbra,Portugal,Miguel
2024-02-12,80,Licença Office 365,Sim,Software,3,357.0,1071.0,Los Angeles,Estados Unidos,Bob
2023-05-12,10,Mouse,Não,Periféricos,10,108.0,1080.0,New York,Estados Unidos,John
2023-04-16,23,Cabo HDMI,Não,Periféricos,3,42.4,127.2,Chicago,Estados Unidos,John
2023-11-19,50,Mesa,Não,Móveis,3,540.0,1620.0,São Paulo,Brasil,Carlos
2024-03-10,90,HD SSD,Sim,Armazenamento,6,624.0,3744.0,Belo Horizonte,Brasil,João
2023-08-23,20,Monitor,Não,Monitores,5,912.0,4560.0,Coimbra,Portugal,Miguel
2023-12-13,50,Mesa,Não,Móveis,9,549.0,4941.0,Chicago,Estados Unidos,Bob
2023-08-08,50,Mesa,Não,Móveis,3,513.0,1539.0,Chicago,Estados Unidos,Bob
2023-08-25,96,Placa de Vídeo,Sim,Periféricos,10,2508.0,25080.0,Porto,Portugal,Sofia
2023-03-22,50,Mesa,Sim,Móveis,3,468.0,1404.0,Madrid,Espanha,David
2023-09-05,10,Mouse,Sim,Periféricos,10,116.0,1160.0,Valencia,Espanha,Carlos
2023-09-23,50,Mesa,Não,Móveis,4,522.0,2088.0,Coimbra,Portugal,Sofia
2023-10-09,30,Notebook,Sim,Computadores,9,4130.0,37170.0,Chicago,Estados Unidos,John
2023-04-04,10,Mouse,Não,Periféricos,10,106.0,1060.0,Belo Horizonte,Brasil,Ana
2023-08-10,95,Memória,Não,Armazenamento,6,364.8,2188.8,Coimbra,Portugal,Miguel
2024-02-20,60,Cadeira,Sim,Móveis,8,306.0,2448.0,Valencia,Espanha,Carlos
2023-04-30,96,Placa de Vídeo,Sim,Periféricos,8,2332.0,18656.0,Barcelona,Espanha,María
2023-06-11,95,Memória,Não,Armazenamento,6,352.0,2112.0,Coimbra,Portugal,André
2024-02-19,95,Memória,Não,Armazenamento,3,326.4,979.2,Chicago,Estados Unidos,John
2023-08-15,50,Mesa,Sim,Móveis,6,513.0,3078.0,Lisboa,Portugal,André
2023-05-04,20,Monitor,Sim,Monitores,1,864.0,864.0,Valencia,Espanha,Carlos
2023-03-23,35,Computador,Sim,Computadores,3,2392.0,7176.0,Belo Horizonte,Brasil,João
2023-06-02,60,Cadeira,Sim,Móveis,8,330.0,2640.0,Madrid,Espanha,Carlos
2023-05-29,90,HD SSD,Não,Armazenamento,5,648.0,3240.0,Barcelona,Espanha,David
2023-12-05,96,Placa de Vídeo,Sim,Periféricos,7,2684.0,18788.0,Lisboa,Portugal,Miguel
2024-03-18,80,Licença Office 365,Sim,Software,7,364.0,2548.0,São Paulo,Brasil,Ana
2023-05-03,11,Teclado,Sim,Periféricos,6,162.0,972.0,Chicago,Estados Unidos,Alice
2023-11-18,70,Licença Windows,Sim,Software,8,1080.0,8640.0,Barcelona,Espanha,David
2023-10-29,50,Mesa,Sim,Móveis,6,531.0,3186.0,Porto,Portugal,Miguel
2023-12-27,96,Placa de Vídeo,Não,Periféricos,7,2684.0,18788.0,Madrid,Espanha,David
2023-06-06,60,Cadeira,Não,Móveis,6,330.0,1980.0,Madrid,Espanha,María
2024-02-13,95,Memória,Sim,Armazenamento,1,326.4,326.4,Chicago,Estados Unidos,Bob
2023-07-24,35,Computador,Não,Computadores,8,2576.0,20608.0,São Paulo,Brasil,Carlos
2023-08-15,80,Licença Office 365,Sim,Software,1,399.0,399.0,Los Angeles,Estados Unidos,Alice
2023-10-21,60,Cadeira,Não,Móveis,9,354.0,3186.0,Madrid,Espanha,Carlos
2023-05-22,35,Computador,Sim,Computadores,3,2484.0,7452.0,Los Angeles,Estados Unidos,John
2023-11-15,20,Monitor,Sim,Monitores,4,960.0,3840.0,Porto,Portugal,Miguel
2023-06-14,20,Monitor,Sim,Monitores,5,880.0,4400.0,New York,Estados Unidos,John
2023-04-01,90,HD SSD,Não,Armazenamento,2,636.0,1272.0,Madrid,Espanha,David
2023-08-16,35,Computador,Sim,Computadores,5,2622.0,13110.0,São Paulo,Brasil,João
2023-07-07,90,HD SSD,Sim,Armazenamento,5,672.0,3360.0,Los Angeles,Estados Unidos,John
2023-11-17,60,Cadeira,Não,Móveis,8,360.0,2880.0,Los Angeles,Estados Unidos,Alice
2023-09-11,60,Cadeira,Sim,Móveis,7,348.0,2436.0,Rio de Janeiro,Brasil,Carlos
2023-03-20,95,Memória,Sim,Armazenamento,6,332.8,1996.8,Barcelona,Espanha,María
2023-05-08,96,Placa de Vídeo,Sim,Periféricos,4,2376.0,9504.0,Los Angeles,Estados Unidos,John
2023-07-11,20,Monitor,Sim,Monitores,9,896.0,8064.0,Rio de Janeiro,Brasil,Ana
2023-12-13,23,Cabo HDMI,Não,Periféricos,7,48.8,341.6,Coimbra,Portugal,André
2023-08-18,11,Teclado,Não,Periféricos,6,171.0,1026.0,Madrid,Espanha,David
2023-10-15,96,Placa de Vídeo,Não,Periféricos,7,2596.0,18172.0,Coimbra,Portugal,Sofia
2023-06-19,95,Memória,Sim,Armazenamento,7,352.0,2464.0,Chicago,Estados Unidos,Bob
2024-02-25,11,Teclado,Sim,Periféricos,1,153.0,153.0,New York,Estados Unidos,John
2023-04-05,50,Mesa,Não,Móveis,9,477.0,4293.0,Rio de Janeiro,Brasil,Ana
2023-04-29,35,Computador,Não,Computadores,1,2438.0,2438.0,Coimbra,Portugal,André
2024-03-17,95,Memória,Sim,Armazenamento,5,332.8,1664.0,Rio de Janeiro,Brasil,Carlos
2023-08-13,70,Licença Windows,Não,Software,5,1026.0,5130.0,Lisboa,Portugal,Sofia
2023-10-15,11,Teclado,Não,Periféricos,10,177.0,1770.0,Valencia,Espanha,David
2023-05-07,20,Monitor,Sim,Monitores,10,864.0,8640.0,Coimbra,Portugal,André
2024-01-02,35,Computador,Não,Computadores,10,2300.0,23000.0,Los Angeles,Estados Unidos,Alice
2023-08-22,23,Cabo HDMI,Não,Periféricos,2,45.6,91.2,Barcelona,Espanha,María
2024-01-12,96,Placa de Vídeo,Não,Periféricos,9,2200.0,19800.0,Barcelona,Espanha,Carlos
2023-10-11,96,Placa de Vídeo,Sim,Periféricos,2,2596.0,5192.0,Chicago,Estados Unidos,Bob
2023-05-20,95,Memória,Sim,Armazenamento,9,345.6,3110.4,São Paulo,Brasil,Carlos
2023-10-01,60,Cadeira,Sim,Móveis,9,354.0,3186.0,São Paulo,Brasil,Carlos
2023-07-18,35,Computador,Não,Computadores,1,2576.0,2576.0,Porto,Portugal,Sofia
2023-10-03,11,Teclado,Não,Periféricos,5,177.0,885.0,Lisboa,Portugal,Miguel
2023-05-16,50,Mesa,Não,Móveis,9,486.0,4374.0,Lisboa,Portugal,Sofia
2024-01-16,35,Computador,Sim,Computadores,3,2300.0,6900.0,Coimbra,Portugal,André
2023-08-08,35,Computador,Não,Computadores,9,2622.0,23598.0,Madrid,Espanha,David
2023-07-17,80,Licença Office 365,Sim,Software,10,392.0,3920.0,Porto,Portugal,André
2023-09-27,50,Mesa,Sim,Móveis,1,522.0,522.0,Porto,Portugal,Miguel
2023-03-31,10,Mouse,Sim,Periféricos,2,104.0,208.0,Coimbra,Portugal,André
2023-10-22,90,HD SSD,Sim,Armazenamento,5,708.0,3540.0,Belo Horizonte,Brasil,Ana
2023-05-28,90,HD SSD,Não,Armazenamento,2,648.0,1296.0,São Paulo,Brasil,Ana
2023-12-08,11,Teclado,Sim,Periféricos,1,183.0,183.0,Belo Horizonte,Brasil,João
2023-04-25,35,Computador,Não,Computadores,8,2438.0,19504.0,Valencia,Espanha,Carlos
2023-04-04,90,HD SSD,Sim,Armazenamento,5,636.0,3180.0,Lisboa,Portugal,Sofia
2023-03-30,20,Monitor,Sim,Monitores,1,832.0,832.0,Barcelona,Espanha,Carlos
2023-11-16,50,Mesa,Não,Móveis,8,540.0,4320.0,Barcelona,Espanha,David
2024-03-13,10,Mouse,Não,Periféricos,2,104.0,208.0,Belo Horizonte,Brasil,Ana
2024-02-04,90,HD SSD,Sim,Armazenamento,7,612.0,4284.0,Rio de Janeiro,Brasil,Ana
2023-04-30,10,Mouse,Sim,Periféricos,6,106.0,636.0,Los Angeles,Estados Unidos,Alice
2023-08-25,80,Licença Office 365,Sim,Software,9,399.0,3591.0,Porto,Portugal,Sofia
2024-01-17,11,Teclado,Não,Periféricos,6,150.0,900.0,Madrid,Espanha,María
2023-03-29,80,Licença Office 365,Não,Software,8,364.0,2912.0,Rio de Janeiro,Brasil,João
2023-09-11,60,Cadeira,Sim,Móveis,2,348.0,696.0,Barcelona,Espanha,Carlos
2023-08-23,35,Computador,Não,Computadores,5,2622.0,13110.0,Rio de Janeiro,Brasil,Ana
2024-02-26,35,Computador,Sim,Computadores,4,2346.0,9384.0,Barcelona,Espanha,María
2023-09-07,35,Computador,Não,Computadores,9,2668.0,24012.0,Lisboa,Portugal,André
2023-11-16,23,Cabo HDMI,Sim,Periféricos,7,48.0,336.0,São Paulo,Brasil,Ana
2023-12-10,96,Placa de Vídeo,Não,Periféricos,3,2684.0,8052.0,Barcelona,Espanha,Carlos
2023-11-22,35,Computador,Não,Computadores,2,2760.0,5520.0,Lisboa,Portugal,Sofia
2023-10-19,70,Licença Windows,Sim,Software,6,1062.0,6372.0,Belo Horizonte,Brasil,Ana
2024-03-19,80,Licença Office 365,Não,Software,9,364.0,3276.0,Porto,Portugal,Miguel
2024-02-02,11,Teclado,Não,Periféricos,6,153.0,918.0,Porto,Portugal,Sofia
2023-08-28,80,Licença Office 365,Sim,Software,8,399.0,3192.0,Coimbra,Portugal,Miguel
2023-09-23,80,Licença Office 365,Sim,Software,7,406.0,2842.0,Belo Horizonte,Brasil,Ana
2023-07-20,30,Notebook,Sim,Computadores,1,3920.0,3920.0,Belo Horizonte,Brasil,Ana
2024-03-16,95,Memória,Não,Armazenamento,2,332.8,665.6,Rio de Janeiro,Brasil,Carlos
2023-11-08,80,Licença Office 365,Sim,Software,6,420.0,2520.0,Rio de Janeiro,Brasil,João
2024-01-23,80,Licença Office 365,Sim,Software,5,350.0,1750.0,Coimbra,Portugal,Miguel
2023-10-06,20,Monitor,Não,Monitores,7,944.0,6608.0,Madrid,Espanha,David
2023-05-31,30,Notebook,Não,Computadores,4,3780.0,15120.0,Valencia,Espanha,David
2023-09-15,35,Computador,Sim,Computadores,3,2668.0,8004.0,Porto,Portugal,André
2024-03-05,60,Cadeira,Sim,Móveis,3,312.0,936.0,Lisboa,Portugal,Sofia
2023-04-24,35,Computador,Sim,Computadores,6,2438.0,14628.0,New York,Estados Unidos,Alice
2024-01-10,35,Computador,Não,Computadores,7,2300.0,16100.0,Lisboa,Portugal,André
2024-02-24,11,Teclado,Não,Periféricos,10,153.0,1530.0,Coimbra,Portugal,Sofia
2024-02-16,50,Mesa,Sim,Móveis,5,459.0,2295.0,Valencia,Espanha,David
2023-08-01,10,Mouse,Sim,Periféricos,1,114.0,114.0,Barcelona,Espanha,María
2023-11-27,90,HD SSD,Não,Armazenamento,5,720.0,3600.0,Rio de Janeiro,Brasil,Ana
2024-02-09,80,Licença Office 365,Sim,Software,3,357.0,1071.0,São Paulo,Brasil,Carlos
2023-05-20,23,Cabo HDMI,Não,Periféricos,7,43.2,302.4,Chicago,Estados Unidos,Alice
2023-12-02,35,Computador,Não,Computadores,7,2806.0,19642.0,Valencia,Espanha,Carlos
2024-01-19,20,Monitor,Não,Monitores,8,800.0,6400.0,Belo Horizonte,Brasil,João
2023-12-25,50,Mesa,Sim,Móveis,9,549.0,4941.0,Rio de Janeiro,Brasil,Ana
2024-01-16,96,Placa de Vídeo,Sim,Periféricos,2,2200.0,4400.0,São Paulo,Brasil,Carlos
2023-11-23,11,Teclado,Sim,Periféricos,1,180.0,180.0,Valencia,Espanha,María
2023-11-02,96,Placa de Vídeo,Sim,Periféricos,4,2640.0,10560.0,Coimbra,Portugal,Sofia
2023-12-23,11,Teclado,Sim,Periféricos,1,183.0,183.0,Valencia,Espanha,Carlos
2023-05-14,70,Licença Windows,Sim,Software,5,972.0,4860.0,Chicago,Estados Unidos,John
2023-03-22,80,Licença Office 365,Sim,Software,7,364.0,2548.0,Los Angeles,Estados Unidos,John
2023-07-07,80,Licença Office 365,Sim,Software,2,392.0,784.0,Los Angeles,Estados Unidos,Alice
2023-04-24,70,Licença Windows,Não,Software,10,954.0,9540.0,São Paulo,Brasil,João
2024-03-07,70,Licença Windows,Sim,Software,6,936.0,5616.0,Chicago,Estados Unidos,Bob
2023-03-20,50,Mesa,Sim,Móveis,3,468.0,1404.0,Coimbra,Portugal,Miguel
2023-05-20,23,Cabo HDMI,Não,Periféricos,3,43.2,129.6,Belo Horizonte,Brasil,Carlos
2023-07-09,96,Placa de Vídeo,Sim,Periféricos,5,2464.0,12320.0,Lisboa,Portugal,André
2023-11-20,35,Computador,Não,Computadores,7,2760.0,19320.0,Belo Horizonte,Brasil,Ana
2023-09-16,10,Mouse,Não,Periféricos,9,116.0,1044.0,Belo Horizonte,Brasil,Carlos
2023-12-06,50,Mesa,Não,Móveis,4,549.0,2196.0,Madrid,Espanha,Carlos
2024-02-20,10,Mouse,Sim,Periféricos,5,102.0,510.0,New York,Estados Unidos,Alice
2023-09-14,95,Memória,Sim,Armazenamento,2,371.2,742.4,Valencia,Espanha,Carlos
2023-10-17,90,HD SSD,Sim,Armazenamento,5,708.0,3540.0,Porto,Portugal,André
2023-05-04,30,Notebook,Sim,Computadores,10,3780.0,37800.0,Belo Horizonte,Brasil,João
2023-06-21,11,Teclado,Não,Periféricos,9,165.0,1485.0,Valencia,Espanha,Carlos
2023-11-24,23,Cabo HDMI,Sim,Periféricos,2,48.0,96.0,Madrid,Espanha,María
2024-01-05,90,HD SSD,Sim,Armazenamento,4,600.0,2400.0,Porto,Portugal,Sofia
2024-02-04,23,Cabo HDMI,Não,Periféricos,2,40.8,81.6,São Paulo,Brasil,Carlos
2023-11-08,30,Notebook,Sim,Computadores,1,4200.0,4200.0,New York,Estados Unidos,John
2023-08-08,60,Cadeira,Sim,Móveis,8,342.0,2736.0,Rio de Janeiro,Brasil,Ana
2023-06-18,20,Monitor,Não,Monitores,1,880.0,880.0,Belo Horizonte,Brasil,Carlos
2023-10-14,30,Notebook,Não,Computadores,8,4130.0,33040.0,Rio de Janeiro,Brasil,João
2023-04-11,30,Notebook,Sim,Computadores,8,3710.0,29680.0,New York,Estados Unidos,John
2023-08-24,23,Cabo HDMI,Sim,Periféricos,6,45.6,273.6,Coimbra,Portugal,Miguel
2023-03-26,60,Cadeira,Não,Móveis,9,312.0,2808.0,Barcelona,Espanha,Carlos
2023-09-15,50,Mesa,Não,Móveis,2,522.0,1044.0,Porto,Portugal,Miguel
2023-10-23,50,Mesa,Sim,Móveis,8,531.0,4248.0,New York,Estados Unidos,Bob
2023-11-30,20,Monitor,Não,Monitores,10,960.0,9600.0,Porto,Portugal,Sofia
2023-08-03,11,Teclado,Não,Periféricos,7,171.0,1197.0,Coimbra,Portugal,Sofia
2023-03-24,20,Monitor,Sim,Monitores,9,832.0,7488.0,Rio de Janeiro,Brasil,Ana
2023-08-20,50,Mesa,Não,Móveis,8,513.0,4104.0,New York,Estados Unidos,Alice
2023-04-09,30,Notebook,Não,Computadores,1,3710.0,3710.0,Chicago,Estados Unidos,Bob
2023-04-26,50,Mesa,Não,Móveis,2,477.0,954.0,Belo Horizonte,Brasil,Ana
2024-02-14,10,Mouse,Sim,Periféricos,10,102.0,1020.0,New York,Estados Unidos,Bob
2023-10-12,60,Cadeira,Sim,Móveis,10,354.0,3540.0,São Paulo,Brasil,João
2023-10-29,10,Mouse,Sim,Periféricos,8,118.0,944.0,Madrid,Espanha,David
2023-03-27,23,Cabo HDMI,Sim,Periféricos,1,41.6,41.6,Valencia,Espanha,María
2023-11-08,50,Mesa,Sim,Móveis,10,540.0,5400.0,São Paulo,Brasil,Ana
2023-10-15,30,Notebook,Não,Computadores,2,4130.0,8260.0,Barcelona,Espanha,David
2023-08-31,23,Cabo HDMI,Sim,Periféricos,9,45.6,410.4,Madrid,Espanha,María
