ID Venda,Data da Venda,Código Produto,Nome Produto,Garantia Extendida,Categoria do Produto,Quantidade Vendido,Valor Unitário,Valor Total da Venda,Cidade da Loja,País da Loja,Vendedor
22,2023-09-20,80,Licença Office 365,Não,Software,2,406.0,812.0,São Paulo,Brasil,Ana
23,2024-01-08,95,Memória,Não,Armazenamento,2,320.0,640.0,Coimbra,Portugal,Miguel
24,2023-04-22,80,Licença Office 365,Sim,Software,4,371.0,1484.0,Porto,Portugal,André
25,2023-07-13,60,Cadeira,Sim,Móveis,7,336.0,2352.0,New York,Estados Unidos,Bob
26,2023-05-28,96,Placa de Vídeo,Não,Periféricos,1,2376.0,2376.0,Lisboa,Portugal,André
27,2023-03-21,80,Licença Office 365,Sim,Software,1,364.0,364.0,Los Angeles,Estados Unidos,Bob
28,2024-02-13,80,Licença Office 365,Sim,Software,8,357.0,2856.0,Valencia,Espanha,Carlos
29,2023-04-06,80,Licença Office 365,Sim,Software,9,371.0,3339.0,Chicago,Estados Unidos,John
30,2023-10-27,90,HD SSD,Não,Armazenamento,7,708.0,4956.0,Belo Horizonte,Brasil,Ana
31,2023-06-05,20,Monitor,Não,Monitores,7,880.0,6160.0,Lisboa,Portugal,Miguel
32,2023-08-03,50,Mesa,Sim,Móveis,7,513.0,3591.0,Porto,Portugal,Miguel
33,2023-11-05,35,Computador,Não,Computadores,3,2760.0,8280.0,São Paulo,Brasil,João
34,2023-08-31,60,Cadeira,Não,Móveis,1,342.0,342.0,Coimbra,Portugal,Sofia
35,2023-12-24,50,Mesa,Não,Móveis,8,549.0,4392.0,São Paulo,Brasil,João
36,2024-01-15,60,Cadeira,Não,Móveis,7,300.0,2100.0,Porto,Portugal,Miguel
37,2023-12-06,95,Memória,Sim,Armazenamento,6,390.4,2342.4,Porto,Portugal,Miguel
38,2023-05-26,30,Notebook,Sim,Computadores,1,3780.0,3780.0,Barcelona,Espanha,David
39,2024-01-08,96,Placa de Vídeo,Sim,Periféricos,6,2200.0,13200.0,Los Angeles,Estados Unidos,Alice
40,2023-10-29,23,Cabo HDMI,Não,Periféricos,10,47.2,472.0,Valencia,Espanha,David
41,2023-04-14,11,Teclado,Sim,Periféricos,4,159.0,636.0,New York,Estados Unidos,Bob
42,2023-03-27,95,Memória,Sim,Armazenamento,6,332.8,1996.8,Barcelona,Espanha,Carlos
43,2023-04-28,35,Computador,Sim,Computadores,4,2438.0,9752.0,Coimbra,Portugal,Sofia
44,2023-10-17,11,Teclado,Não,Periféricos,7,177.0,1239.0,Los Angeles,Estados Unidos,Bob
45,2023-04-07,60,Cadeira,Não,Móveis,2,318.0,636.0,Los Angeles,Estados Unidos,Alice
46,2023-11-29,60,Cadeira,Não,Móveis,10,360.0,3600.0,Porto,Portugal,Miguel
47,2023-04-04,30,Notebook,Não,Computadores,2,3710.0,7420.0,Valencia,Espanha,Carlos
48,2023-07-26,90,HD SSD,Não,Armazenamento,4,672.0,2688.0,Coimbra,Portugal,Miguel
49,2023-09-18,30,Notebook,Sim,Computadores,1,4060.0,4060.0,Lisboa,Portugal,Sofia
50,2023-12-13,95,Memória,Não,Armazenamento,7,390.4,2732.8,Rio de Janeiro,Brasil,Ana
51,2023-12-13,90,HD SSD,Sim,Armazenamento,4,732.0,2928.0,Rio de Janeiro,Brasil,João
52,2023-06-03,95,Memória,Sim,Armazenamento,5,352.0,1760.0,Coimbra,Portugal,Sofia
53,2023-11-28,90,HD SSD,Sim,Armazenamento,4,720.0,2880.0,New York,Estados Unidos,Alice
54,2023-10-20,10,Mouse,Não,Periféricos,6,118.0,708.0,Rio de Janeiro,Brasil,João
55,2023-10-05,95,Memória,Sim,Armazenamento,8,377.6,3020.8,Coimbra,Portugal,Sofia
56,2024-01-19,50,Mesa,Sim,Móveis,5,450.0,2250.0,Porto,Portugal,Sofia
57,2023-10-16,60,Cadeira,Não,Móveis,3,354.0,1062.0,Rio de Janeiro,Brasil,João
58,2023-06-26,11,Teclado,Sim,Periféricos,8,165.0,1320.0,Belo Horizonte,Brasil,Ana
59,2023-12-26,10,Mouse,Sim,Periféricos,3,122.0,366.0,São Paulo,Brasil,Carlos
60,2023-07-18,96,Placa de Vídeo,Não,Periféricos,8,2464.0,19712.0,São Paulo,Brasil,Ana
61,2023-04-17,96,Placa de Vídeo,Não,Periféricos,6,2332.0,13992.0,Chicago,Estados Unidos,John
62,2023-04-25,60,Cadeira,Não,Móveis,9,318.0,2862.0,Coimbra,Portugal,André
63,2023-09-12,23,Cabo HDMI,Sim,Periféricos,10,46.4,464.0,Madrid,Espanha,Carlos
64,2023-08-11,96,Placa de Vídeo,Não,Periféricos,10,2508.0,25080.0,New York,Estados Unidos,Alice
65,2023-11-30,20,Monitor,Sim,Monitores,10,960.0,9600.0,Rio de Janeiro,Brasil,João
66,2023-09-21,90,HD SSD,Não,Armazenamento,4,696.0,2784.0,Porto,Portugal,Miguel
67,2023-10-20,96,Placa de Vídeo,Não,Periféricos,10,2596.0,25960.0,Porto,Portugal,Sofia
68,2023-12-28,60,Cadeira,Sim,Móveis,4,366.0,1464.0,Los Angeles,Estados Unidos,Alice
69,2023-10-15,11,Teclado,Sim,Periféricos,10,177.0,1770.0,São Paulo,Brasil,João
70,2023-04-15,95,Memória,Sim,Armazenamento,1,339.2,339.2,Rio de Janeiro,Brasil,Ana
71,2023-08-13,11,Teclado,Não,Periféricos,9,171.0,1539.0,New York,Estados Unidos,Alice
72,2023-04-28,50,Mesa,Sim,Móveis,5,477.0,2385.0,Rio de Janeiro,Brasil,Ana
73,2024-03-18,60,Cadeira,Sim,Móveis,10,312.0,3120.0,Belo Horizonte,Brasil,Carlos
74,2024-02-14,10,Mouse,Sim,Periféricos,1,102.0,102.0,Valencia,Espanha,María
75,2023-05-26,70,Licença Windows,Não,Software,2,972.0,1944.0,New York,Estados Unidos,Bob
76,2023-05-04,80,Licença Office 365,Não,Software,5,378.0,1890.0,Porto,Portugal,Miguel
77,2024-02-17,96,Placa de Vídeo,Não,Periféricos,1,2244.0,2244.0,Rio de Janeiro,Brasil,Ana
78,2024-01-07,20,Monitor,Sim,Monitores,2,800.0,1600.0,São Paulo,Brasil,Ana
79,2023-07-24,80,Licença Office 365,Não,Software,1,392.0,392.0,Chicago,Estados Unidos,John
80,2023-05-16,10,Mouse,Não,Periféricos,8,108.0,864.0,New York,Estados Unidos,John
81,2023-08-02,90,HD SSD,Não,Armazenamento,3,684.0,2052.0,Madrid,Espanha,David
82,2023-12-08,23,Cabo HDMI,Não,Periféricos,3,48.8,146.4,Porto,Portugal,André
83,2023-11-09,95,Memória,Sim,Armazenamento,4,384.0,1536.0,São Paulo,Brasil,João
84,2023-06-08,20,Monitor,Sim,Monitores,8,880.0,7040.0,Belo Horizonte,Brasil,Carlos
85,2023-12-07,80,Licença Office 365,Sim,Software,1,427.0,427.0,Belo Horizonte,Brasil,João
86,2024-01-14,60,Cadeira,Não,Móveis,9,300.0,2700.0,Lisboa,Portugal,André
87,2023-12-17,20,Monitor,Não,Monitores,10,976.0,9760.0,Lisboa,Portugal,Miguel
88,2023-07-21,11,Teclado,Sim,Periféricos,2,168.0,336.0,Lisboa,Portugal,Sofia
89,2023-11-11,23,Cabo HDMI,Sim,Periféricos,1,48.0,48.0,Los Angeles,Estados Unidos,John
90,2023-03-31,96,Placa de Vídeo,Não,Periféricos,5,2288.0,11440.0,Valencia,Espanha,María
91,2023-04-22,50,Mesa,Não,Móveis,5,477.0,2385.0,Los Angeles,Estados Unidos,Bob
92,2024-03-03,60,Cadeira,Não,Móveis,5,312.0,1560.0,Chicago,Estados Unidos,Alice
93,2023-12-04,80,Licença Office 365,Sim,Software,4,427.0,1708.0,New York,Estados Unidos,Bob
94,2023-06-15,95,Memória,Não,Armazenamento,8,352.0,2816.0,New York,Estados Unidos,Bob
95,2023-04-10,96,Placa de Vídeo,Não,Periféricos,3,2332.0,6996.0,Los Angeles,Estados Unidos,Alice
96,2023-11-13,96,Placa de Vídeo,Não,Periféricos,7,2640.0,18480.0,Valencia,Espanha,María
97,2023-10-27,23,Cabo HDMI,Não,Periféricos,7,47.2,330.4,Belo Horizonte,Brasil,João
98,2024-02-25,10,Mouse,Sim,Periféricos,2,102.0,204.0,Porto,Portugal,Sofia
99,2023-12-06,50,Mesa,Não,Móveis,3,549.0,1647.0,Valencia,Espanha,David
100,2023-07-07,30,Notebook,Não,Computadores,2,3920.0,7840.0,Barcelona,Espanha,Carlos
101,2024-01-16,96,Placa de Vídeo,Não,Periféricos,9,2200.0,19800.0,Rio de Janeiro,Brasil,Carlos
102,2023-04-07,80,Licença Office 365,Não,Software,4,371.0,1484.0,Belo Horizonte,Brasil,Carlos
103,2023-09-15,95,Memória,Não,Armazenamento,1,371.2,371.2,São Paulo,Brasil,Carlos
104,2024-03-17,95,Memória,Não,Armazenamento,2,332.8,665.6,São Paulo,Brasil,Ana
105,2023-08-19,96,Placa de Vídeo,Não,Periféricos,8,2508.0,20064.0,Los Angeles,Estados Unidos,Alice
106,2023-12-19,50,Mesa,Não,Móveis,6,549.0,3294.0,Coimbra,Portugal,Miguel
107,2024-03-15,10,Mouse,Não,Periféricos,5,104.0,520.0,Porto,Portugal,Sofia
108,2024-02-10,30,Notebook,Não,Computadores,2,3570.0,7140.0,Belo Horizonte,Brasil,Ana
109,2023-12-07,96,Placa de Vídeo,Sim,Periféricos,1,2684.0,2684.0,Porto,Portugal,André
110,2023-12-24,11,Teclado,Não,Periféricos,1,183.0,183.0,Madrid,Espanha,María
111,2024-01-01,23,Cabo HDMI,Não,Periféricos,3,40.0,120.0,Porto,Portugal,André
112,2024-01-07,23,Cabo HDMI,Sim,Periféricos,4,40.0,160.0,Porto,Portugal,Miguel
113,2023-08-16,80,Licença Office 365,Não,Software,9,399.0,3591.0,Belo Horizonte,Brasil,Ana
114,2023-11-26,23,Cabo HDMI,Não,Periféricos,2,48.0,96.0,Lisboa,Portugal,Miguel
115,2023-05-23,95,Memória,Sim,Armazenamento,5,345.6,1728.0,Lisboa,Portugal,Miguel
116,2024-03-14,11,Teclado,Sim,Periféricos,8,156.0,1248.0,Rio de Janeiro,Brasil,Ana
117,2023-12-11,23,Cabo HDMI,Sim,Periféricos,5,48.8,244.0,Lisboa,Portugal,André
118,2024-01-05,35,Computador,Sim,Computadores,10,2300.0,23000.0,Coimbra,Portugal,Sofia
119,2023-06-22,90,HD SSD,Não,Armazenamento,1,660.0,660.0,São Paulo,Brasil,João
120,2023-08-11,35,Computador,Não,Computadores,8,2622.0,20976.0,Barcelona,Espanha,David
121,2024-01-24,23,Cabo HDMI,Não,Periféricos,2,40.0,80.0,Barcelona,Espanha,María
122,2024-01-16,35,Computador,Sim,Computadores,1,2300.0,2300.0,Lisboa,Portugal,André
123,2024-02-02,96,Placa de Vídeo,Sim,Periféricos,9,2244.0,20196.0,São Paulo,Brasil,Ana
124,2023-04-13,35,Computador,Não,Computadores,9,2438.0,21942.0,Rio de Janeiro,Brasil,Ana
125,2023-07-01,90,HD SSD,Sim,Armazenamento,8,672.0,5376.0,Belo Horizonte,Brasil,Carlos
126,2023-03-21,80,Licença Office 365,Não,Software,4,364.0,1456.0,Chicago,Estados Unidos,John
127,2023-03-24,95,Memória,Sim,Armazenamento,8,332.8,2662.4,Los Angeles,Estados Unidos,Bob
128,2023-06-18,60,Cadeira,Não,Móveis,9,330.0,2970.0,Porto,Portugal,André
129,2023-08-17,20,Monitor,Sim,Monitores,2,912.0,1824.0,Madrid,Espanha,Carlos
130,2024-02-01,20,Monitor,Não,Monitores,1,816.0,816.0,Lisboa,Portugal,Sofia
131,2024-02-13,96,Placa de Vídeo,Sim,Periféricos,1,2244.0,2244.0,Coimbra,Portugal,Sofia
132,2023-12-04,10,Mouse,Não,Periféricos,6,122.0,732.0,Rio de Janeiro,Brasil,Ana
133,2023-09-04,23,Cabo HDMI,Não,Periféricos,4,46.4,185.6,Los Angeles,Estados Unidos,Alice
134,2023-05-19,23,Cabo HDMI,Não,Periféricos,9,43.2,388.8,São Paulo,Brasil,João
135,2023-08-26,20,Monitor,Sim,Monitores,1,912.0,912.0,Madrid,Espanha,María
136,2023-04-08,35,Computador,Sim,Computadores,7,2438.0,17066.0,Lisboa,Portugal,André
137,2023-12-16,10,Mouse,Sim,Periféricos,4,122.0,488.0,Chicago,Estados Unidos,Alice
138,2023-09-10,50,Mesa,Não,Móveis,6,522.0,3132.0,New York,Estados Unidos,Bob
139,2024-02-10,60,Cadeira,Sim,Móveis,8,306.0,2448.0,Coimbra,Portugal,Sofia
140,2023-04-30,96,Placa de Vídeo,Não,Periféricos,4,2332.0,9328.0,Los Angeles,Estados Unidos,John
141,2023-12-09,60,Cadeira,Sim,Móveis,10,366.0,3660.0,Lisboa,Portugal,Sofia
142,2023-12-03,90,HD SSD,Sim,Armazenamento,8,732.0,5856.0,Barcelona,Espanha,María
143,2023-07-22,60,Cadeira,Sim,Móveis,10,336.0,3360.0,Chicago,Estados Unidos,John
144,2023-09-28,96,Placa de Vídeo,Sim,Periféricos,6,2552.0,15312.0,Chicago,Estados Unidos,Alice
145,2023-12-13,90,HD SSD,Não,Armazenamento,3,732.0,2196.0,Porto,Portugal,Miguel
146,2023-08-03,60,Cadeira,Não,Móveis,10,342.0,3420.0,Coimbra,Portugal,André
147,2024-02-24,30,Notebook,Não,Computadores,5,3570.0,17850.0,Chicago,Estados Unidos,Alice
148,2023-04-17,35,Computador,Não,Computadores,1,2438.0,2438.0,New York,Estados Unidos,Alice
149,2023-10-02,20,Monitor,Não,Monitores,2,944.0,1888.0,Valencia,Espanha,Carlos
150,2023-12-30,23,Cabo HDMI,Não,Periféricos,10,48.8,488.0,Chicago,Estados Unidos,Bob
151,2023-04-09,30,Notebook,Não,Computadores,7,3710.0,25970.0,New York,Estados Unidos,John
152,2024-01-05,50,Mesa,Sim,Móveis,3,450.0,1350.0,Coimbra,Portugal,Miguel
153,2023-06-25,30,Notebook,Não,Computadores,3,3850.0,11550.0,New York,Estados Unidos,Bob
154,2023-09-11,50,Mesa,Sim,Móveis,5,522.0,2610.0,Coimbra,Portugal,Sofia
155,2023-05-18,90,HD SSD,Não,Armazenamento,1,648.0,648.0,Belo Horizonte,Brasil,João
156,2024-02-11,11,Teclado,Sim,Periféricos,1,153.0,153.0,Lisboa,Portugal,Miguel
157,2023-04-10,23,Cabo HDMI,Sim,Periféricos,5,42.4,212.0,Los Angeles,Estados Unidos,Alice
158,2023-06-01,35,Computador,Sim,Computadores,10,2530.0,25300.0,São Paulo,Brasil,Carlos
159,2023-03-26,96,Placa de Vídeo,Não,Periféricos,3,2288.0,6864.0,Madrid,Espanha,Carlos
160,2024-03-11,20,Monitor,Sim,Monitores,3,832.0,2496.0,Valencia,Espanha,David
161,2024-01-24,20,Monitor,Sim,Monitores,7,800.0,5600.0,São Paulo,Brasil,Carlos
162,2023-09-19,90,HD SSD,Sim,Armazenamento,4,696.0,2784.0,Valencia,Espanha,María
163,2023-08-10,60,Cadeira,Sim,Móveis,10,342.0,3420.0,Valencia,Espanha,Carlos
164,2023-11-26,50,Mesa,Sim,Móveis,3,540.0,1620.0,Porto,Portugal,Sofia
165,2023-05-31,35,Computador,Não,Computadores,6,2484.0,14904.0,Rio de Janeiro,Brasil,Carlos
166,2023-05-04,80,Licença Office 365,Não,Software,10,378.0,3780.0,Porto,Portugal,Sofia
167,2023-03-21,90,HD SSD,Sim,Armazenamento,2,624.0,1248.0,New York,Estados Unidos,Alice
168,2023-09-21,30,Notebook,Sim,Computadores,7,4060.0,28420.0,Los Angeles,Estados Unidos,Bob
169,2024-01-14,80,Licença Office 365,Sim,Software,6,350.0,2100.0,Porto,Portugal,Miguel
170,2024-02-22,30,Notebook,Não,Computadores,8,3570.0,28560.0,Madrid,Espanha,María
171,2023-11-29,96,Placa de Vídeo,Não,Periféricos,10,2640.0,26400.0,Porto,Portugal,Sofia
172,2023-05-05,35,Computador,Não,Computadores,3,2484.0,7452.0,Chicago,Estados Unidos,John
173,2023-08-27,30,Notebook,Sim,Computadores,8,3990.0,31920.0,Porto,Portugal,Sofia
174,2023-10-14,96,Placa de Vídeo,Não,Periféricos,8,2596.0,20768.0,São Paulo,Brasil,Carlos
175,2024-01-25,70,Licença Windows,Não,Software,10,900.0,9000.0,Belo Horizonte,Brasil,João
176,2024-01-09,90,HD SSD,Sim,Armazenamento,4,600.0,2400.0,Madrid,Espanha,Carlos
177,2023-11-27,96,Placa de Vídeo,Sim,Periféricos,10,2640.0,26400.0,Los Angeles,Estados Unidos,Alice
178,2023-12-06,23,Cabo HDMI,Sim,Periféricos,5,48.8,244.0,São Paulo,Brasil,João
179,2023-11-11,30,Notebook,Sim,Computadores,2,4200.0,8400.0,Lisboa,Portugal,Miguel
180,2023-06-07,96,Placa de Vídeo,Sim,Periféricos,2,2420.0,4840.0,Coimbra,Portugal,André
181,2023-05-09,70,Licença Windows,Não,Software,8,972.0,7776.0,Madrid,Espanha,María
182,2024-02-26,23,Cabo HDMI,Não,Periféricos,6,40.8,244.8,São Paulo,Brasil,Carlos
183,2024-01-20,95,Memória,Não,Armazenamento,5,320.0,1600.0,Chicago,Estados Unidos,Alice
184,2024-02-14,90,HD SSD,Sim,Armazenamento,4,612.0,2448.0,Los Angeles,Estados Unidos,Bob
185,2023-04-05,50,Mesa,Não,Móveis,10,477.0,4770.0,Belo Horizonte,Brasil,Carlos
186,2024-03-07,60,Cadeira,Sim,Móveis,2,312.0,624.0,Los Angeles,Estados Unidos,Bob
187,2023-05-28,70,Licença Windows,Sim,Software,4,972.0,3888.0,Los Angeles,Estados Unidos,Bob
188,2023-05-12,95,Memória,Não,Armazenamento,4,345.6,1382.4,Chicago,Estados Unidos,Alice
189,2023-05-21,10,Mouse,Sim,Periféricos,5,108.0,540.0,Rio de Janeiro,Brasil,Ana
190,2023-11-28,30,Notebook,Não,Computadores,8,4200.0,33600.0,Coimbra,Portugal,Miguel
191,2023-06-04,70,Licença Windows,Sim,Software,4,990.0,3960.0,New York,Estados Unidos,Alice
192,2023-04-03,80,Licença Office 365,Sim,Software,7,371.0,2597.0,Los Angeles,Estados Unidos,John
193,2024-02-17,20,Monitor,Não,Monitores,4,816.0,3264.0,Madrid,Espanha,Carlos
194,2024-02-03,80,Licença Office 365,Sim,Software,4,357.0,1428.0,Porto,Portugal,Miguel
195,2023-07-08,50,Mesa,Sim,Móveis,7,504.0,3528.0,Los Angeles,Estados Unidos,Bob
196,2023-11-18,80,Licença Office 365,Não,Software,1,420.0,420.0,Porto,Portugal,Miguel
197,2023-10-14,96,Placa de Vídeo,Não,Periféricos,2,2596.0,5192.0,Valencia,Espanha,Carlos
198,2023-12-28,35,Computador,Sim,Computadores,10,2806.0,28060.0,Belo Horizonte,Brasil,João
199,2023-08-21,60,Cadeira,Sim,Móveis,7,342.0,2394.0,Porto,Portugal,Sofia
200,2023-11-15,30,Notebook,Sim,Computadores,2,4200.0,8400.0,Barcelona,Espanha,María
201,2024-03-06,70,Licença Windows,Não,Software,9,936.0,8424.0,Madrid,Espanha,Carlos
202,2023-06-15,23,Cabo HDMI,Sim,Periféricos,9,44.0,396.0,Madrid,Espanha,David
203,2023-08-07,20,Monitor,Não,Monitores,9,912.0,8208.0,Porto,Portugal,Miguel
204,2023-03-22,30,Notebook,Não,Computadores,3,3640.0,10920.0,Barcelona,Espanha,Carlos
205,2023-04-09,11,Teclado,Não,Periféricos,3,159.0,477.0,São Paulo,Brasil,João
206,2023-06-07,50,Mesa,Não,Móveis,7,495.0,3465.0,Los Angeles,Estados Unidos,Bob
207,2023-10-09,80,Licença Office 365,Não,Software,5,413.0,2065.0,Barcelona,Espanha,David
208,2023-04-30,35,Computador,Sim,Computadores,3,2438.0,7314.0,Rio de Janeiro,Brasil,Carlos
209,2023-05-14,11,Teclado,Sim,Periféricos,5,162.0,810.0,Lisboa,Portugal,André
210,2023-12-22,50,Mesa,Sim,Móveis,10,549.0,5490.0,Madrid,Espanha,María
211,2023-11-12,95,Memória,Sim,Armazenamento,10,384.0,3840.0,Lisboa,Portugal,Miguel
212,2023-11-14,50,Mesa,Não,Móveis,6,540.0,3240.0,Los Angeles,Estados Unidos,John
213,2023-11-19,80,Licença Office 365,Sim,Software,4,420.0,1680.0,Lisboa,Portugal,Sofia
214,2023-08-17,20,Monitor,Sim,Monitores,1,912.0,912.0,Barcelona,Espanha,María
215,2023-12-05,90,HD SSD,Sim,Armazenamento,1,732.0,732.0,Barcelona,Espanha,María
216,2023-06-23,80,Licença Office 365,Não,Software,1,385.0,385.0,Porto,Portugal,Miguel
217,2023-05-17,35,Computador,Sim,Computadores,6,2484.0,14904.0,São Paulo,Brasil,João
218,2023-05-26,50,Mesa,Sim,Móveis,5,486.0,2430.0,Rio de Janeiro,Brasil,João
219,2023-05-22,96,Placa de Vídeo,Sim,Periféricos,7,2376.0,16632.0,Belo Horizonte,Brasil,João
220,2023-12-02,95,Memória,Sim,Armazenamento,6,390.4,2342.4,Los Angeles,Estados Unidos,John
221,2024-01-14,20,Monitor,Sim,Monitores,8,800.0,6400.0,Coimbra,Portugal,Sofia
222,2024-01-11,90,HD SSD,Não,Armazenamento,10,600.0,6000.0,Madrid,Espanha,Carlos
223,2023-12-05,90,HD SSD,Não,Armazenamento,9,732.0,6588.0,New York,Estados Unidos,Bob
224,2023-11-01,30,Notebook,Sim,Computadores,6,4200.0,25200.0,New York,Estados Unidos,Alice
225,2023-04-06,60,Cadeira,Sim,Móveis,5,318.0,1590.0,Rio de Janeiro,Brasil,João
226,2023-09-01,10,Mouse,Não,Periféricos,2,116.0,232.0,Coimbra,Portugal,Miguel
227,2023-07-28,10,Mouse,Sim,Periféricos,8,112.0,896.0,Madrid,Espanha,María
228,2023-05-02,90,HD SSD,Sim,Armazenamento,5,648.0,3240.0,Barcelona,Espanha,María
229,2024-02-26,60,Cadeira,Sim,Móveis,4,306.0,1224.0,Rio de Janeiro,Brasil,Carlos
230,2023-10-27,23,Cabo HDMI,Não,Periféricos,9,47.2,424.8,Lisboa,Portugal,Miguel
231,2023-08-09,10,Mouse,Sim,Periféricos,5,114.0,570.0,Lisboa,Portugal,Sofia
232,2023-06-28,80,Licença Office 365,Não,Software,3,385.0,1155.0,Valencia,Espanha,Carlos
233,2023-04-06,90,HD SSD,Não,Armazenamento,8,636.0,5088.0,Lisboa,Portugal,Sofia
234,2024-02-02,70,Licença Windows,Sim,Software,10,918.0,9180.0,Porto,Portugal,Sofia
235,2023-04-06,95,Memória,Não,Armazenamento,3,339.2,1017.6,Rio de Janeiro,Brasil,Carlos
236,2023-11-05,95,Memória,Sim,Armazenamento,3,384.0,1152.0,Chicago,Estados Unidos,Alice
237,2023-04-20,96,Placa de Vídeo,Não,Periféricos,9,2332.0,20988.0,Belo Horizonte,Brasil,Carlos
238,2023-10-18,20,Monitor,Sim,Monitores,6,944.0,5664.0,Belo Horizonte,Brasil,Carlos
239,2023-07-02,70,Licença Windows,Não,Software,4,1008.0,4032.0,São Paulo,Brasil,Ana
240,2023-06-12,70,Licença Windows,Não,Software,3,990.0,2970.0,Valencia,Espanha,Carlos
241,2023-11-06,95,Memória,Não,Armazenamento,5,384.0,1920.0,New York,Estados Unidos,Bob
242,2023-09-11,95,Memória,Não,Armazenamento,2,371.2,742.4,Chicago,Estados Unidos,John
243,2024-02-20,95,Memória,Não,Armazenamento,9,326.4,2937.6,Los Angeles,Estados Unidos,Bob
244,2023-09-27,50,Mesa,Sim,Móveis,10,522.0,5220.0,Coimbra,Portugal,André
245,2023-04-21,20,Monitor,Não,Monitores,10,848.0,8480.0,New York,Estados Unidos,John
246,2023-04-01,30,Notebook,Sim,Computadores,10,3710.0,37100.0,Porto,Portugal,Miguel
247,2023-12-17,95,Memória,Não,Armazenamento,2,390.4,780.8,Barcelona,Espanha,David
248,2023-07-05,23,Cabo HDMI,Não,Periféricos,5,44.8,224.0,São Paulo,Brasil,Ana
249,2023-09-15,10,Mouse,Não,Periféricos,6,116.0,696.0,Belo Horizonte,Brasil,Ana
250,2023-10-27,23,Cabo HDMI,Sim,Periféricos,4,47.2,188.8,Belo Horizonte,Brasil,Ana
251,2023-10-03,11,Teclado,Sim,Periféricos,9,177.0,1593.0,Lisboa,Portugal,Sofia
252,2024-01-04,96,Placa de Vídeo,Não,Periféricos,4,2200.0,8800.0,São Paulo,Brasil,João
253,2023-05-28,20,Monitor,Sim,Monitores,9,864.0,7776.0,Belo Horizonte,Brasil,Carlos
254,2023-09-02,30,Notebook,Sim,Computadores,9,4060.0,36540.0,Rio de Janeiro,Brasil,João
255,2024-01-04,95,Memória,Sim,Armazenamento,10,320.0,3200.0,Coimbra,Portugal,Sofia
256,2024-03-19,23,Cabo HDMI,Sim,Periféricos,6,41.6,249.6,New York,Estados Unidos,Alice
257,2024-02-27,23,Cabo HDMI,Não,Periféricos,7,40.8,285.6,Madrid,Espanha,Carlos
258,2023-10-30,96,Placa de Vídeo,Sim,Periféricos,6,2596.0,15576.0,New York,Estados Unidos,Bob
259,2023-12-24,90,HD SSD,Não,Armazenamento,7,732.0,5124.0,Los Angeles,Estados Unidos,John
260,2024-03-15,60,Cadeira,Não,Móveis,8,312.0,2496.0,Lisboa,Portugal,Miguel
261,2023-10-21,96,Placa de Vídeo,Não,Periféricos,1,2596.0,2596.0,Porto,Portugal,Sofia
262,2024-02-17,11,Teclado,Sim,Periféricos,9,153.0,1377.0,Lisboa,Portugal,Sofia
